lemma,present_phones,past_phones
start,S T AA R T,S T AA R T IH D
approve,AH P R UW V,AH P R UW V D
pay,P EY,P EY D
furnish,F ER N IH SH,F ER N IH SH T
meet,M IY T,M EH T
come,K AH M,K EY M
create,K R IY EY T,K R IY EY T AH D
list,L IH S T,L IH S T AH D
unite,Y UW N AY T,Y UW N AY T IH D
treat,T R IY T,T R IY T IH D
think,TH IH NG K,TH AO T
go,G OW,W EH N T
it,IH T,IH T
write,R AY T,R OW T
pass,P AE S,P AE S T
make,M EY K,M EY D
live,L AY V,L IH V D
cut,K AH T,K AH T
it,IH T,IH T
understand,AH N D ER S T AE N D,AH N D ER S T UH D
liberalize,L IH B ER AH L AY Z,L IH B ER AH L AY Z D
it,IH T,IH T
mention,M EH N SH AH N,M EH N SH AH N D
come,K AH M,K EY M
give,G IH V,G EY V
de,D IY,D IH D
locate,L OW K EY T,L OW K EY T AH D
it,IH T,IH T
speak,S P IY K,S P OW K
show,SH OW,SH OW D
it,IH T,IH T
become,B IH K AH M,B IH K EY M
embed,IH M B EH D,EH M B EH D IH D
terminate,T ER M AH N EY T,T ER M AH N EY T IH D
occur,AH K ER,AH K ER D
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
meet,M IY T,M EH T
it,IH T,IH T
have,HH AE V,HH AE D
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
it,IH T,IH T
it,IH T,IH T
catch,K AE CH,K AA T
it,IH T,IH T
it,IH T,IH T
halve,HH AE V,HH AE V D
renew,R IH N UW,R IH N UW D
begin,B IH G IH N,B IH G AE N
receive,R AH S IY V,R AH S IY V D
it,IH T,IH T
acquire,AH K W AY ER,AH K W AY ER D
go,G OW,W EH N T
say,S EY,S EH D
promise,P R AA M AH S,P R AA M AH S T
create,K R IY EY T,K R IY EY T AH D
say,S EY,S EH D
live,L AY V,L IH V D
it,IH T,IH T
join,JH OY N,JH OY N D
it,IH T,IH T
mistake,M IH S T EY K,M IH S T UH K
make,M EY K,M EY D
output,AW T P UH T,AW T P UH T
it,IH T,IH T
it,IH T,IH T
de,D IY,D IH D
point,P OY N T,P OY N T IH D
leave,L IY V,L EH F T
it,IH T,IH T
it,IH T,IH T
say,S EY,S EH D
have,HH AE V,HH AE D
resume,R IH Z UW M,R IH Z UW M D
think,TH IH NG K,TH AO T
it,IH T,IH T
deplore,D IH P L AO R,D IH P L AO R D
pulse,P AH L S,P AH L S T
it,IH T,IH T
slit,S L IH T,S L IH T
come,K AH M,K EY M
split,S P L IH T,S P L IH T
occupy,AA K Y AH P AY,AA K Y AH P AY D
relate,R IH L EY T,R IH L EY T IH D
measure,M EH ZH ER,M EH ZH ER D
it,IH T,IH T
abolish,AH B AA L IH SH,AH B AA L IH SH T
cut,K AH T,K AH T
de,D IY,D IH D
de,D IY,D IH D
normalize,N AO R M AH L AY Z,N AO R M AH L AY Z D
it,IH T,IH T
output,AW T P UH T,AW T P UH T
place,P L EY S,P L EY S T
carry,K AE R IY,K AE R IY D
begin,B IH G IH N,B IH G AE N
it,IH T,IH T
sit,S IH T,S AE T
sit,S IH T,S AE T
levy,L EH V IY,L EH V IY D
define,D IH F AY N,D IH F AY N D
complete,K AH M P L IY T,K AH M P L IY T AH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
it,IH T,IH T
use,Y UW S,Y UW Z D
think,TH IH NG K,TH AO T
have,HH AE V,HH AE D
specify,S P EH S AH F AY,S P EH S AH F AY D
ram,R AE M,R AE M D
bring,B R IH NG,B R AO T
call,K AO L,K AO L D
have,HH AE V,HH AE D
make,M EY K,M EY D
account,AH K AW N T,AH K AW N T IH D
have,HH AE V,HH AE D
say,S EY,S EH D
promise,P R AA M AH S,P R AA M AH S T
have,HH AE V,HH AE D
come,K AH M,K EY M
wish,W IH SH,W IH SH T
come,K AH M,K EY M
rise,R AY Z,R OW Z
have,HH AE V,HH AE D
it,IH T,IH T
give,G IH V,G EY V
allege,AH L EH JH,AH L EH JH D
unite,Y UW N AY T,Y UW N AY T IH D
issue,IH SH UW,IH SH UW D
read,R EH D,R EH D
think,TH IH NG K,TH AO T
hear,HH IY R,HH ER D
make,M EY K,M EY D
output,AW T P UH T,AW T P UH T
have,HH AE V,HH AE D
rear,R IH R,R IH R D
de,D IY,D IH D
view,V Y UW,V Y UW D
remove,R IY M UW V,R IY M UW V D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
judge,JH AH JH,JH AH JH D
position,P AH Z IH SH AH N,P AH Z IH SH AH N D
have,HH AE V,HH AE D
deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
bill,B IH L,B IH L D
it,IH T,IH T
make,M EY K,M EY D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
unite,Y UW N AY T,Y UW N AY T IH D
preoccupy,P R IY AA K Y AH P AY,P R IY AA K Y AH P AY D
let,L EH T,L EH T
read,R EH D,R EH D
code,K OW D,K OW D IH D
say,S EY,S EH D
have,HH AE V,HH AE D
divulge,D IH V AH L JH,D IH V AH L JH D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
say,S EY,S EH D
go,G OW,W EH N T
observe,AH B Z ER V,AH B Z ER V D
prove,P R UW V,P R UW V D
have,HH AE V,HH AE D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
soak,S OW K,S OW K T
it,IH T,IH T
cause,K AA Z,K AA Z D
have,HH AE V,HH AE D
bleed,B L IY D,B L EH D
develop,D IH V EH L AH P,D IH V EH L AH P T
cut,K AH T,K AH T
de,D IY,D IH D
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
avoid,AH V OY D,AH V OY D IH D
it,IH T,IH T
cut,K AH T,K AH T
put,P UH T,P UH T
exclude,IH K S K L UW D,IH K S K L UW D AH D
receive,R AH S IY V,R AH S IY V D
doe,D OW,D IH D
base,B EY S,B EY S T
it,IH T,IH T
it,IH T,IH T
leave,L IY V,L EH F T
quote,K W OW T,K W OW T IH D
ask,AE S K,AE S K T
complete,K AH M P L IY T,K AH M P L IY T AH D
it,IH T,IH T
light,L AY T,L IH T
it,IH T,IH T
change,CH EY N JH,CH EY N JH D
start,S T AA R T,S T AA R T IH D
influence,IH N F L UW AH N S,IH N F L UW AH N S T
call,K AO L,K AO L D
observe,AH B Z ER V,AH B Z ER V D
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
have,HH AE V,HH AE D
begin,B IH G IH N,B IH G AE N
have,HH AE V,HH AE D
start,S T AA R T,S T AA R T IH D
have,HH AE V,HH AE D
join,JH OY N,JH OY N D
call,K AO L,K AO L D
shake,SH EY K,SH UH K
call,K AO L,K AO L D
it,IH T,IH T
attack,AH T AE K,AH T AE K T
it,IH T,IH T
understand,AH N D ER S T AE N D,AH N D ER S T UH D
say,S EY,S EH D
come,K AH M,K EY M
react,R IY AE K T,R IY AE K T IH D
charge,CH AA R JH,CH AA R JH D
think,TH IH NG K,TH AO T
pay,P EY,P EY D
open,OW P AH N,OW P AH N D
make,M EY K,M EY D
occupy,AA K Y AH P AY,AA K Y AH P AY D
apply,AH P L AY,AH P L AY D
have,HH AE V,HH AE D
mark,M AA R K,M AA R K T
call,K AO L,K AO L D
sleep,S L IY P,S L EH P T
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
shave,SH EY V,SH EY V D
provide,P R AH V AY D,P R AH V AY D IH D
radiate,R EY D IY AH T,R EY D IY EY T IH D
it,IH T,IH T
doe,D OW,D IH D
leave,L IY V,L EH F T
emerge,IH M ER JH,IH M ER JH D
put,P UH T,P UH T
it,IH T,IH T
feel,F IY L,F EH L T
put,P UH T,P UH T
begin,B IH G IH N,B IH G AE N
use,Y UW S,Y UW Z D
record,R AH K AO R D,R AH K AO R D IH D
say,S EY,S EH D
say,S EY,S EH D
it,IH T,IH T
put,P UH T,P UH T
it,IH T,IH T
live,L AY V,L IH V D
acquire,AH K W AY ER,AH K W AY ER D
have,HH AE V,HH AE D
say,S EY,S EH D
comment,K AA M EH N T,K AA M EH N T AH D
pass,P AE S,P AE S T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
develop,D IH V EH L AH P,D IH V EH L AH P T
furnish,F ER N IH SH,F ER N IH SH T
endure,EH N D Y UH R,EH N D Y UH R D
exhibit,IH G Z IH B IH T,IH G Z IH B AH T AH D
it,IH T,IH T
eye,AY,AY D
traverse,T R AE V ER S,T R AE V ER S T
have,HH AE V,HH AE D
let,L EH T,L EH T
doe,D OW,D IH D
it,IH T,IH T
use,Y UW S,Y UW Z D
couple,K AH P AH L,K AH P AH L D
limit,L IH M AH T,L IH M AH T AH D
it,IH T,IH T
it,IH T,IH T
show,SH OW,SH OW D
conclude,K AH N K L UW D,K AH N K L UW D AH D
use,Y UW S,Y UW Z D
go,G OW,W EH N T
let,L EH T,L EH T
de,D IY,D IH D
doe,D OW,D IH D
make,M EY K,M EY D
oblige,AH B L AY JH,AH B L AY JH D
think,TH IH NG K,TH AO T
pay,P EY,P EY D
have,HH AE V,HH AE D
it,IH T,IH T
file,F AY L,F AY L D
class,K L AE S,K L AE S T
save,S EY V,S EY V D
it,IH T,IH T
tire,T AY ER,T AY ER D
crowd,K R AW D,K R AW D AH D
marke,M AA R K,M AA R K T
say,S EY,S EH D
say,S EY,S EH D
it,IH T,IH T
base,B EY S,B EY S T
declare,D IH K L EH R,D IH K L EH R D
value,V AE L Y UW,V AE L Y UW D
it,IH T,IH T
go,G OW,W EH N T
promise,P R AA M AH S,P R AA M AH S T
it,IH T,IH T
it,IH T,IH T
use,Y UW S,Y UW Z D
supply,S AH P L AY,S AH P L AY D
it,IH T,IH T
it,IH T,IH T
indicate,IH N D AH K EY T,IH N D AH K EY T AH D
it,IH T,IH T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
show,SH OW,SH OW D
it,IH T,IH T
use,Y UW S,Y UW Z D
have,HH AE V,HH AE D
set,S EH T,S EH T
approve,AH P R UW V,AH P R UW V D
feel,F IY L,F EH L T
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
laminate,L AE M AH N AH T,L AE M AH N EY T AH D
it,IH T,IH T
enforce,EH N F AO R S,EH N F AO R S T
it,IH T,IH T
conclude,K AH N K L UW D,K AH N K L UW D AH D
tread,T R EH D,T R AA D
it,IH T,IH T
go,G OW,W EH N T
commend,K AH M EH N D,K AH M EH N D IH D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
prepare,P R IY P EH R,P R IY P EH R D
climb,K L AY M,K L AY M D
mention,M EH N SH AH N,M EH N SH AH N D
shelve,SH EH L V,SH EH L V D
passe,P AE S EY,P AE S T
leave,L IY V,L EH F T
receive,R AH S IY V,R AH S IY V D
predict,P R IH D IH K T,P R IH D IH K T IH D
oblige,AH B L AY JH,AH B L AY JH D
suit,S UW T,S UW T IH D
it,IH T,IH T
repair,R IH P EH R,R IH P EH R D
build,B IH L D,B IH L T
sustain,S AH S T EY N,S AH S T EY N D
wet,W EH T,W EH T
set,S EH T,S EH T
de,D IY,D IH D
mind,M AY N D,M AY N D AH D
ask,AE S K,AE S K T
come,K AH M,K EY M
bring,B R IH NG,B R AO T
eat,IY T,EY T
make,M EY K,M EY D
it,IH T,IH T
doe,D OW,D IH D
cloud,K L AW D,K L AW D IH D
set,S EH T,S EH T
misplace,M IH S P L EY S,M IH S P L EY S T
meet,M IY T,M EH T
reveal,R IH V IY L,R IH V IY L D
specify,S P EH S AH F AY,S P EH S AH F AY D
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
get,G EH T,G AA T
involve,IH N V AA L V,IH N V AA L V D
begin,B IH G IH N,B IH G AE N
give,G IH V,G EY V
it,IH T,IH T
dwindle,D W IH N D AH L,D W IH N D AH L D
share,SH EH R,SH EH R D
make,M EY K,M EY D
receive,R AH S IY V,R AH S IY V D
get,G EH T,G AA T
it,IH T,IH T
manifest,M AE N AH F EH S T,M AE N AH F EH S T AH D
it,IH T,IH T
call,K AO L,K AO L D
call,K AO L,K AO L D
show,SH OW,SH OW D
it,IH T,IH T
receive,R AH S IY V,R AH S IY V D
shoot,SH UW T,SH AA T
owe,OW,OW D
it,IH T,IH T
make,M EY K,M EY D
strip,S T R IH P,S T R IH P T
excel,IH K S EH L,IH K S EH L D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
it,IH T,IH T
employ,EH M P L OY,EH M P L OY D
say,S EY,S EH D
dislodge,D IH S L AA JH,D IH S L AA JH D
bite,B AY T,B IH T
divide,D IH V AY D,D IH V AY D IH D
slide,S L AY D,S L IH D
buy,B AY,B AA T
it,IH T,IH T
mark,M AA R K,M AA R K T
live,L AY V,L IH V D
equate,IH K W EY T,IH K W EY T IH D
say,S EY,S EH D
have,HH AE V,HH AE D
feel,F IY L,F EH L T
patch,P AE CH,P AE CH T
restore,R IH S T AO R,R IH S T AO R D
determine,D AH T ER M AH N,D IH T ER M AH N D
come,K AH M,K EY M
mention,M EH N SH AH N,M EH N SH AH N D
appease,AH P IY Z,AH P IY Z D
have,HH AE V,HH AE D
catch,K AE CH,K AA T
rush,R AH SH,R AH SH T
boil,B OY L,B OY L D
seal,S IY L,S IY L D
prove,P R UW V,P R UW V D
doe,D OW,D IH D
it,IH T,IH T
it,IH T,IH T
distil,D IH S T IH L,D IH S T IH L D
it,IH T,IH T
think,TH IH NG K,TH AO T
it,IH T,IH T
it,IH T,IH T
marry,M EH R IY,M EH R IY D
season,S IY Z AH N,S IY Z AH N D
observe,AH B Z ER V,AH B Z ER V D
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
it,IH T,IH T
understand,AH N D ER S T AE N D,AH N D ER S T UH D
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
tinkle,T IH NG K AH L,T IH NG K AH L D
solve,S AA L V,S AA L V D
make,M EY K,M EY D
overheat,OW V ER HH IY T,OW V ER HH IY T IH D
it,IH T,IH T
study,S T AH D IY,S T AH D IY D
promise,P R AA M AH S,P R AA M AH S T
let,L EH T,L EH T
approach,AH P R OW CH,AH P R OW CH T
go,G OW,W EH N T
grow,G R OW,G R UW
train,T R EY N,T R EY N D
produce,P R AH D UW S,P R AH D UW S T
gain,G EY N,G EY N D
express,IH K S P R EH S,IH K S P R EH S T
set,S EH T,S EH T
place,P L EY S,P L EY S T
it,IH T,IH T
it,IH T,IH T
perceive,P ER S IY V,P ER S IY V D
propose,P R AH P OW Z,P R AH P OW Z D
use,Y UW S,Y UW Z D
use,Y UW S,Y UW Z D
describe,D IH S K R AY B,D IH S K R AY B D
perforate,P ER F ER EY T,P ER F ER EY T IH D
make,M EY K,M EY D
quote,K W OW T,K W OW T IH D
subject,S AH B JH EH K T,S AH B JH EH K T IH D
occupy,AA K Y AH P AY,AA K Y AH P AY D
derive,D ER AY V,D ER AY V D
come,K AH M,K EY M
give,G IH V,G EY V
people,P IY P AH L,P IY P AH L D
orient,AO R IY EH N T,AO R IY EH N T AH D
desire,D IH Z AY ER,D IH Z AY ER D
call,K AO L,K AO L D
start,S T AA R T,S T AA R T IH D
worth,W ER TH,W ER TH
it,IH T,IH T
provide,P R AH V AY D,P R AH V AY D IH D
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
ask,AE S K,AE S K T
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
put,P UH T,P UH T
come,K AH M,K EY M
it,IH T,IH T
pass,P AE S,P AE S T
organize,AO R G AH N AY Z,AO R G AH N AY Z D
let,L EH T,L EH T
define,D IH F AY N,D IH F AY N D
develop,D IH V EH L AH P,D IH V EH L AH P T
cost,K AA S T,K AA S T
it,IH T,IH T
have,HH AE V,HH AE D
bring,B R IH NG,B R AO T
it,IH T,IH T
treat,T R IY T,T R IY T IH D
come,K AH M,K EY M
pillage,P IH L IH JH,P IH L IH JH D
say,S EY,S EH D
it,IH T,IH T
map,M AE P,M AE P T
avoid,AH V OY D,AH V OY D IH D
have,HH AE V,HH AE D
de,D IY,D IH D
it,IH T,IH T
doe,D OW,D IH D
say,S EY,S EH D
doe,D OW,D IH D
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
it,IH T,IH T
begin,B IH G IH N,B IH G AE N
it,IH T,IH T
say,S EY,S EH D
it,IH T,IH T
class,K L AE S,K L AE S T
have,HH AE V,HH AE D
come,K AH M,K EY M
devastate,D EH V AH S T EY T,D EH V AH S T EY T IH D
quote,K W OW T,K W OW T IH D
observe,AH B Z ER V,AH B Z ER V D
have,HH AE V,HH AE D
stir,S T ER,S T ER D
it,IH T,IH T
it,IH T,IH T
return,R IH T ER N,R IH T ER N D
set,S EH T,S EH T
send,S EH N D,S EH N T
define,D IH F AY N,D IH F AY N D
passe,P AE S EY,P AE S T
it,IH T,IH T
specialize,S P EH SH AH L AY Z,S P EH SH AH L AY Z D
write,R AY T,R OW T
point,P OY N T,P OY N T IH D
fall,F AO L,F EH L
culminate,K AH L M IH N EY T,K AH L M AH N EY T IH D
call,K AO L,K AO L D
doe,D OW,D IH D
reduce,R AH D UW S,R AH D UW S T
transfer,T R AE N S F ER,T R AE N S F ER D
set,S EH T,S EH T
cost,K AA S T,K AA S T
unite,Y UW N AY T,Y UW N AY T IH D
situate,S IH CH UW EY T,S IH CH UW EY T IH D
propose,P R AH P OW Z,P R AH P OW Z D
have,HH AE V,HH AE D
state,S T EY T,S T EY T IH D
sizzle,S IH Z AH L,S IH Z AH L D
doe,D OW,D IH D
cost,K AA S T,K AA S T
it,IH T,IH T
guide,G AY D,G AY D AH D
dress,D R EH S,D R EH S T
unite,Y UW N AY T,Y UW N AY T IH D
deem,D IY M,D IY M D
have,HH AE V,HH AE D
become,B IH K AH M,B IH K EY M
explore,IH K S P L AO R,IH K S P L AO R D
guide,G AY D,G AY D AH D
study,S T AH D IY,S T AH D IY D
receive,R AH S IY V,R AH S IY V D
prove,P R UW V,P R UW V D
wear,W EH R,W AO R
have,HH AE V,HH AE D
base,B EY S,B EY S T
it,IH T,IH T
make,M EY K,M EY D
saturate,S AE CH ER EY T,S AE CH ER EY T IH D
nature,N EY CH ER,N EY CH ER D
it,IH T,IH T
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
examine,IH G Z AE M IH N,IH G Z AE M AH N D
say,S EY,S EH D
walk,W AO K,W AO K T
call,K AO L,K AO L D
leave,L IY V,L EH F T
hang,HH AE NG,HH AH NG
require,R IY K W AY ER,R IY K W AY ER D
close,K L OW S,K L OW Z D
reduce,R AH D UW S,R AH D UW S T
have,HH AE V,HH AE D
build,B IH L D,B IH L T
it,IH T,IH T
make,M EY K,M EY D
receive,R AH S IY V,R AH S IY V D
think,TH IH NG K,TH AO T
doe,D OW,D IH D
have,HH AE V,HH AE D
eat,IY T,EY T
it,IH T,IH T
it,IH T,IH T
dedicate,D EH D AH K EY T,D EH D AH K EY T AH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
employ,EH M P L OY,EH M P L OY D
unite,Y UW N AY T,Y UW N AY T IH D
carry,K AE R IY,K AE R IY D
use,Y UW S,Y UW Z D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
bring,B R IH NG,B R AO T
specialize,S P EH SH AH L AY Z,S P EH SH AH L AY Z D
dress,D R EH S,D R EH S T
have,HH AE V,HH AE D
call,K AO L,K AO L D
it,IH T,IH T
say,S EY,S EH D
come,K AH M,K EY M
advocate,AE D V AH K AH T,AE D V AH K EY T IH D
use,Y UW S,Y UW Z D
it,IH T,IH T
it,IH T,IH T
notice,N OW T AH S,N OW T AH S T
unite,Y UW N AY T,Y UW N AY T IH D
point,P OY N T,P OY N T IH D
develop,D IH V EH L AH P,D IH V EH L AH P T
it,IH T,IH T
it,IH T,IH T
hire,HH AY ER,HH AY ER D
reduce,R AH D UW S,R AH D UW S T
cut,K AH T,K AH T
